Word
and
but
or
so
yet
nor
for
after
although
as
because
before
if
once
since
that
though
till
unless
while
where
whether
because of
in order that
even though
as long as
as soon as
just as
so that
in case
now that
as if
provided that
whereas
inasmuch as
whenever
until
while
after all
as though
lest
regardless
apart from
given that
if only
in case that
in spite of
on the condition that
only if
supposing
as far as
in the event that
not to mention
rather than
such that
to the extent that
although
despite
much as
whether or not
assuming that
besides
conversely
except that
in order to
like
provided
save that
that is to say
to the end that
wherever
whiles
by the time
even if
on condition that
so long as
apart from that
even when
if then
in as much as
in spite of the fact that
in the same way that
not only but also
notwithstanding
presuming that
rather
seeing that
unless and until
whereas as
whether or no
as against
as well as
in accordance with
in addition to
in relation to
in the light of
not to speak of
regardless of the fact that
so as to
with regard to
